x,y,theta
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
2.6,-1.5,0.0
